clf,dataset_name,dataset_type,auc,n_estimators
RISF,TwoLeadECG,timeseries,0.7324,1
RISF,TwoLeadECG,timeseries,0.613,1
RISF,TwoLeadECG,timeseries,0.726,5
RISF,TwoLeadECG,timeseries,0.7444,5
RISF,TwoLeadECG,timeseries,0.6533,5
RISF,TwoLeadECG,timeseries,0.7683,10
RISF,TwoLeadECG,timeseries,0.793,10
RISF,TwoLeadECG,timeseries,0.6686,10
RISF,TwoLeadECG,timeseries,0.819,25
RISF,TwoLeadECG,timeseries,0.8375,25
RISF,TwoLeadECG,timeseries,0.6832,25
RISF,TwoLeadECG,timeseries,0.8317,50
RISF,TwoLeadECG,timeseries,0.8324,50
RISF,TwoLeadECG,timeseries,0.7473,50
RISF,TwoLeadECG,timeseries,0.854,100
RISF,TwoLeadECG,timeseries,0.866,100
RISF,TwoLeadECG,timeseries,0.7619,100
RISF,TwoLeadECG,timeseries,0.8692,200
RISF,TwoLeadECG,timeseries,0.8533,200
RISF,TwoLeadECG,timeseries,0.7632,200
