clf,dataset_name,dataset_type,auc,distances
RISF,IMDB-BINARY,graph,0.5225,Ips_Por_Net_Deg
RISF,IMDB-BINARY,graph,0.4108,Ips_Por_Net_Deg
RISF,IMDB-BINARY,graph,0.4633,Ips_Por_Net_Deg
RISF,IMDB-BINARY,graph,0.525,Ips_Por_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3533,Ips_Por_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3558,Ips_Por_Net_Net_euc
RISF,IMDB-BINARY,graph,0.4217,Ips_Por_Net_Net
RISF,IMDB-BINARY,graph,0.3125,Ips_Por_Net_Net
RISF,IMDB-BINARY,graph,0.4142,Ips_Por_Net_Net
RISF,IMDB-BINARY,graph,0.3883,Ips_Por_Net_euc
RISF,IMDB-BINARY,graph,0.4958,Ips_Por_Net_euc
RISF,IMDB-BINARY,graph,0.39,Ips_Por_Net_euc
RISF,IMDB-BINARY,graph,0.41,Ips_Por_Net
RISF,IMDB-BINARY,graph,0.42,Ips_Por_Net
RISF,IMDB-BINARY,graph,0.4267,Ips_Por_Net
RISF,IMDB-BINARY,graph,0.49,Ips_Por_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3092,Ips_Por_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3325,Ips_Por_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.475,Ips_Por_Deg_Net
RISF,IMDB-BINARY,graph,0.3317,Ips_Por_Deg_Net
RISF,IMDB-BINARY,graph,0.3717,Ips_Por_Deg_Net
RISF,IMDB-BINARY,graph,0.4242,Ips_Por_Deg_euc
RISF,IMDB-BINARY,graph,0.4225,Ips_Por_Deg_euc
RISF,IMDB-BINARY,graph,0.2525,Ips_Por_Deg_euc
RISF,IMDB-BINARY,graph,0.4417,Ips_Por_Deg
RISF,IMDB-BINARY,graph,0.4842,Ips_Por_Deg
RISF,IMDB-BINARY,graph,0.3583,Ips_Por_Deg
RISF,IMDB-BINARY,graph,0.3975,Ips_Por_Net_euc
RISF,IMDB-BINARY,graph,0.3258,Ips_Por_Net_euc
RISF,IMDB-BINARY,graph,0.3742,Ips_Por_Net_euc
RISF,IMDB-BINARY,graph,0.4533,Ips_Por_Net
RISF,IMDB-BINARY,graph,0.285,Ips_Por_Net
RISF,IMDB-BINARY,graph,0.4075,Ips_Por_Net
RISF,IMDB-BINARY,graph,0.3408,Ips_Por_euc
RISF,IMDB-BINARY,graph,0.345,Ips_Por_euc
RISF,IMDB-BINARY,graph,0.1417,Ips_Por_euc
RISF,IMDB-BINARY,graph,0.5042,Ips_Por
RISF,IMDB-BINARY,graph,0.425,Ips_Por
RISF,IMDB-BINARY,graph,0.4817,Ips_Por
RISF,IMDB-BINARY,graph,0.4775,Ips_Jac_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.315,Ips_Jac_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4558,Ips_Jac_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4758,Ips_Jac_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.265,Ips_Jac_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4333,Ips_Jac_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.3717,Ips_Jac_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.3142,Ips_Jac_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.3792,Ips_Jac_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.45,Ips_Jac_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.3058,Ips_Jac_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.4083,Ips_Jac_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.3558,Ips_Jac_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3058,Ips_Jac_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.435,Ips_Jac_Oni_Net_Net_euc
