clf,dataset_name,dataset_type,auc,max_samples
IForest,ad_nominal,binary,0.703,256
IForest,ad_nominal,binary,0.6838,256
IForest,ad_nominal,binary,0.7449,256
IForest,ad_nominal,binary,0.7146,256
IForest,ad_nominal,binary,0.7082,256
IForest,ad_nominal,binary,0.6611,512
IForest,ad_nominal,binary,0.6597,512
IForest,ad_nominal,binary,0.7166,512
IForest,ad_nominal,binary,0.6712,512
IForest,ad_nominal,binary,0.707,512
IForest,TwoLeadECG,timeseries,0.8489,64
IForest,TwoLeadECG,timeseries,0.8521,64
IForest,TwoLeadECG,timeseries,0.7175,64
IForest,TwoLeadECG,timeseries,0.8806,64
IForest,TwoLeadECG,timeseries,0.6952,64
IForest,TwoLeadECG,timeseries,0.8762,128
IForest,TwoLeadECG,timeseries,0.8794,128
IForest,TwoLeadECG,timeseries,0.7537,128
IForest,TwoLeadECG,timeseries,0.8743,128
IForest,TwoLeadECG,timeseries,0.7029,128
IForest,TwoLeadECG,timeseries,0.8743,256
IForest,TwoLeadECG,timeseries,0.873,256
IForest,TwoLeadECG,timeseries,0.8337,256
IForest,TwoLeadECG,timeseries,0.9067,256
IForest,TwoLeadECG,timeseries,0.7473,256
IForest,TwoLeadECG,timeseries,0.8952,512
IForest,TwoLeadECG,timeseries,0.9187,512
IForest,TwoLeadECG,timeseries,0.8216,512
IForest,TwoLeadECG,timeseries,0.8813,512
IForest,TwoLeadECG,timeseries,0.7797,512
IForest,agnews_1,nlp,0.7094,64
IForest,agnews_1,nlp,0.6889,64
IForest,agnews_1,nlp,0.6662,64
IForest,agnews_1,nlp,0.6828,64
IForest,agnews_1,nlp,0.721,64
IForest,agnews_1,nlp,0.6643,128
IForest,agnews_1,nlp,0.7046,128
IForest,agnews_1,nlp,0.67,128
IForest,agnews_1,nlp,0.7278,128
IForest,agnews_1,nlp,0.7409,128
IForest,agnews_1,nlp,0.6624,256
IForest,agnews_1,nlp,0.718,256
IForest,agnews_1,nlp,0.6999,256
IForest,agnews_1,nlp,0.7148,256
IForest,agnews_1,nlp,0.7545,256
IForest,agnews_1,nlp,0.7117,512
IForest,agnews_1,nlp,0.7479,512
IForest,agnews_1,nlp,0.6835,512
IForest,agnews_1,nlp,0.7246,512
IForest,agnews_1,nlp,0.7605,512
