clf,dataset_name,dataset_type,auc
IForest,TwoLeadECG,timeseries,0.8095
IForest,TwoLeadECG,timeseries,0.7054
IForest,TwoLeadECG,timeseries,0.8457
IForest,TwoLeadECG,timeseries,0.7092
IForest,TwoLeadECG,timeseries,0.9327
IForest,TwoLeadECG,timeseries,0.8629
IForest,TwoLeadECG,timeseries,0.8438
IForest,TwoLeadECG,timeseries,0.8025
IForest,TwoLeadECG,timeseries,0.7746
IForest,TwoLeadECG,timeseries,0.8883
IForest,TwoLeadECG,timeseries,0.8413
IForest,TwoLeadECG,timeseries,0.7606
IForest,agnews_1,nlp,0.6737
IForest,agnews_1,nlp,0.7337
IForest,agnews_1,nlp,0.7164
IForest,agnews_1,nlp,0.7479
IForest,agnews_1,nlp,0.7383
IForest,agnews_1,nlp,0.738
IForest,agnews_1,nlp,0.7188
IForest,agnews_1,nlp,0.719
IForest,agnews_1,nlp,0.7434
IForest,agnews_1,nlp,0.7316
IForest,agnews_1,nlp,0.7287
IForest,agnews_1,nlp,0.7065
IForest,agnews_1,nlp,0.6886
IForest,agnews_1,nlp,0.7452
IForest,agnews_1,nlp,0.7167
IForest,agnews_1,nlp,0.7429
IForest,agnews_1,nlp,0.726
IForest,agnews_1,nlp,0.7225
IForest,agnews_1,nlp,0.7036
IForest,agnews_1,nlp,0.7113
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,0.9884
ECOD,21_Lymphography,numerical,0.9884
ECOD,21_Lymphography,numerical,0.9884
ECOD,21_Lymphography,numerical,0.9767
ECOD,21_Lymphography,numerical,0.9884
ECOD,21_Lymphography,numerical,0.9767
ECOD,21_Lymphography,numerical,0.9767
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,1.0
ECOD,21_Lymphography,numerical,0.9884
ECOD,21_Lymphography,numerical,0.9884
ECOD,36_speech,numerical,0.4414
ECOD,36_speech,numerical,0.5397
ECOD,36_speech,numerical,0.4011
ECOD,36_speech,numerical,0.4186
ECOD,36_speech,numerical,0.3343
ECOD,36_speech,numerical,0.3583
ECOD,36_speech,numerical,0.426
ECOD,36_speech,numerical,0.3042
ECOD,36_speech,numerical,0.5152
ECOD,36_speech,numerical,0.4626
ECOD,36_speech,numerical,0.5764
ECOD,36_speech,numerical,0.4524
ECOD,36_speech,numerical,0.4401
ECOD,36_speech,numerical,0.4919
ECOD,36_speech,numerical,0.5245
ECOD,36_speech,numerical,0.5067
ECOD,36_speech,numerical,0.4814
ECOD,36_speech,numerical,0.5294
ECOD,36_speech,numerical,0.4244
ECOD,36_speech,numerical,0.4694
ECOD,6_cardio,numerical,0.9496
ECOD,6_cardio,numerical,0.9306
ECOD,6_cardio,numerical,0.9297
ECOD,6_cardio,numerical,0.9398
ECOD,6_cardio,numerical,0.9401
ECOD,6_cardio,numerical,0.9553
ECOD,6_cardio,numerical,0.9293
ECOD,6_cardio,numerical,0.9295
ECOD,6_cardio,numerical,0.9211
ECOD,6_cardio,numerical,0.9402
ECOD,6_cardio,numerical,0.9343
ECOD,6_cardio,numerical,0.9499
ECOD,6_cardio,numerical,0.9375
ECOD,6_cardio,numerical,0.9466
ECOD,6_cardio,numerical,0.926
ECOD,6_cardio,numerical,0.9252
ECOD,6_cardio,numerical,0.9255
ECOD,6_cardio,numerical,0.921
ECOD,6_cardio,numerical,0.938
ECOD,6_cardio,numerical,0.9428
ECOD,26_optdigits,numerical,0.6023
ECOD,26_optdigits,numerical,0.5769
ECOD,26_optdigits,numerical,0.6136
